Rank,Country,EF EPI Score,Level,Year
59,Armenia,499.0,Low Proficiency,2021
60,Brazil,497.0,Low Proficiency,2021
61,Guatemala,493.0,Low Proficiency,2021
62,Nepal,492.0,Low Proficiency,2021
63,Ethiopia,491.0,Low Proficiency,2021
63,Pakistan,491.0,Low Proficiency,2021
65,Bangladesh,490.0,Low Proficiency,2021
66,Vietnam,486.0,Low Proficiency,2021
67,Tanzania,485.0,Low Proficiency,2021
68,Mozambique,482.0,Low Proficiency,2021
69,United Arab Emirates,480.0,Low Proficiency,2021
70,Turkey,478.0,Low Proficiency,2021
71,Morocco,477.0,Low Proficiency,2021
72,Bahrain,476.0,Low Proficiency,2021
73,Panama,475.0,Low Proficiency,2021
73,Venezuela,475.0,Low Proficiency,2021
75,Algeria,474.0,Low Proficiency,2021
76,Nicaragua,470.0,Low Proficiency,2021
77,Madagascar,469.0,Low Proficiency,2021
78,Japan,468.0,Low Proficiency,2021
79,Qatar,467.0,Low Proficiency,2021
80,Indonesia,466.0,Low Proficiency,2021
81,Colombia,465.0,Low Proficiency,2021
82,Sri Lanka,464.0,Low Proficiency,2021
83,Mongolia,461.0,Low Proficiency,2021
84,Kuwait,458.0,Low Proficiency,2021
85,Egypt,455.0,Low Proficiency,2021
86,Azerbaijan,451.0,Low Proficiency,2021
87,Afghanistan,448.0,Very Low Proficiency,2021
88,Uzbekistan,447.0,Very Low Proficiency,2021
89,Syria,445.0,Very Low Proficiency,2021
90,Ecuador,440.0,Very Low Proficiency,2021
90,Jordan,440.0,Very Low Proficiency,2021
92,Mexico,436.0,Very Low Proficiency,2021
93,Myanmar,429.0,Very Low Proficiency,2021
94,Angola,428.0,Very Low Proficiency,2021
94,Cameroon,428.0,Very Low Proficiency,2021
96,Kazakhstan,426.0,Very Low Proficiency,2021
97,Cambodia,423.0,Very Low Proficiency,2021
98,Sudan,421.0,Very Low Proficiency,2021
99,Ivory Coast,420.0,Very Low Proficiency,2021
100,Thailand,419.0,Very Low Proficiency,2021
101,Kyrgyzstan,418.0,Very Low Proficiency,2021
102,Oman,417.0,Very Low Proficiency,2021
103,Tajikistan,405.0,Very Low Proficiency,2021
104,Saudi Arabia,404.0,Very Low Proficiency,2021
105,Haiti,403.0,Very Low Proficiency,2021
106,Somalia,401.0,Very Low Proficiency,2021
107,Iraq,399.0,Very Low Proficiency,2021
108,Libya,390.0,Very Low Proficiency,2021
109,Rwanda,389.0,Very Low Proficiency,2021
110,Democratic Republic of the Congo,386.0,Very Low Proficiency,2021
111,South Sudan,363.0,Very Low Proficiency,2021
112,Yemen,360.0,Very Low Proficiency,2021
1,Netherlands,661.0,Very High Proficiency,2022
2,Singapore,642.0,Very High Proficiency,2022
3,Austria,628.0,Very High Proficiency,2022
4,Norway,627.0,Very High Proficiency,2022
5,Denmark,625.0,Very High Proficiency,2022
6,Belgium,620.0,Very High Proficiency,2022
7,Sweden,618.0,Very High Proficiency,2022
8,Finland,615.0,Very High Proficiency,2022
9,Portugal,614.0,Very High Proficiency,2022
10,Germany,613.0,Very High Proficiency,2022
11,Croatia,612.0,Very High Proficiency,2022
12,South Africa,609.0,Very High Proficiency,2022
13,Poland,600.0,Very High Proficiency,2022
14,Greece,598.0,High Proficiency,2022
15,Slovakia,597.0,High Proficiency,2022
16,Luxembourg,596.0,High Proficiency,2022
17,Romania,595.0,High Proficiency,2022
18,Hungary,590.0,High Proficiency,2022
19,Lithuania,589.0,High Proficiency,2022
20,Kenya,582.0,High Proficiency,2022
21,Bulgaria,581.0,High Proficiency,2022
22,Philippines,578.0,High Proficiency,2022
23,Czech Republic,575.0,High Proficiency,2022
24,Malaysia,574.0,High Proficiency,2022
25,Latvia,571.0,High Proficiency,2022
26,Estonia,570.0,High Proficiency,2022
27,Serbia,567.0,High Proficiency,2022
28,Nigeria,564.0,High Proficiency,2022
29,Switzerland,563.0,High Proficiency,2022
30,Argentina,562.0,High Proficiency,2022
31,"Hong Kong, China",561.0,High Proficiency,2022
32,Italy,548.0,Moderate Proficiency,2022
33,Spain,545.0,Moderate Proficiency,2022
34,France,541.0,Moderate Proficiency,2022
35,Ukraine,539.0,Moderate Proficiency,2022
36,South Korea,537.0,Moderate Proficiency,2022
37,Costa Rica,536.0,Moderate Proficiency,2022
38,Cuba,535.0,Moderate Proficiency,2022
39,Belarus,533.0,Moderate Proficiency,2022
40,Russia,530.0,Moderate Proficiency,2022
41,Ghana,529.0,Moderate Proficiency,2022
42,Moldova,528.0,Moderate Proficiency,2022
43,Paraguay,526.0,Moderate Proficiency,2022
44,Bolivia,525.0,Moderate Proficiency,2022
45,Chile,524.0,Moderate Proficiency,2022
46,Georgia,524.0,Moderate Proficiency,2022
47,Albania,523.0,Moderate Proficiency,2022
48,Honduras,522.0,Moderate Proficiency,2022
49,Uruguay,521.0,Moderate Proficiency,2022
50,El Salvador,519.0,Moderate Proficiency,2022
51,Peru,517.0,Moderate Proficiency,2022
52,India,516.0,Moderate Proficiency,2022
53,Dominican Republic,514.0,Moderate Proficiency,2022
54,Lebanon,513.0,Moderate Proficiency,2022
55,Uganda,512.0,Moderate Proficiency,2022
56,Tunisia,511.0,Moderate Proficiency,2022
57,Armenia,506.0,Moderate Proficiency,2022
58,Brazil,505.0,Moderate Proficiency,2022
59,Guatemala,505.0,Moderate Proficiency,2022
60,Vietnam,502.0,Moderate Proficiency,2022
61,Nicaragua,499.0,Low Proficiency,2022
62,China,498.0,Low Proficiency,2022
63,Tanzania,496.0,Low Proficiency,2022
64,Turkey,495.0,Low Proficiency,2022
65,Nepal,494.0,Low Proficiency,2022
66,Bangladesh,493.0,Low Proficiency,2022
67,Venezuela,492.0,Low Proficiency,2022
68,Ethiopia,490.0,Low Proficiency,2022
69,Iran,489.0,Low Proficiency,2022
70,Pakistan,488.0,Low Proficiency,2022
71,Sri Lanka,487.0,Low Proficiency,2022
72,Mongolia,485.0,Low Proficiency,2022
73,Qatar,484.0,Low Proficiency,2022
74,Israel,483.0,Low Proficiency,2022
75,Panama,482.0,Low Proficiency,2022
76,Morocco,478.0,Low Proficiency,2022
77,Colombia,477.0,Low Proficiency,2022
78,Algeria,476.0,Low Proficiency,2022
79,United Arab Emirates,476.0,Low Proficiency,2022
80,Japan,475.0,Low Proficiency,2022
81,Indonesia,469.0,Low Proficiency,2022
82,Ecuador,466.0,Low Proficiency,2022
83,Syria,461.0,Low Proficiency,2022
84,Kuwait,459.0,Low Proficiency,2022
85,Egypt,454.0,Low Proficiency,2022
86,Mozambique,453.0,Low Proficiency,2022
87,Afghanistan,450.0,Low Proficiency,2022
88,Mexico,447.0,Very Low Proficiency,2022
89,Uzbekistan,446.0,Very Low Proficiency,2022
90,Jordan,443.0,Very Low Proficiency,2022
91,Kyrgyzstan,442.0,Very Low Proficiency,2022
92,Azerbaijan,440.0,Very Low Proficiency,2022
93,Myanmar,437.0,Very Low Proficiency,2022
94,Cambodia,434.0,Very Low Proficiency,2022
95,Sudan,426.0,Very Low Proficiency,2022
96,Cameroon,425.0,Very Low Proficiency,2022
97,Thailand,423.0,Very Low Proficiency,2022
98,Haiti,421.0,Very Low Proficiency,2022
99,Kazakhstan,420.0,Very Low Proficiency,2022
100,Somalia,414.0,Very Low Proficiency,2022
101,Oman,412.0,Very Low Proficiency,2022
102,Saudi Arabia,406.0,Very Low Proficiency,2022
103,Iraq,404.0,Very Low Proficiency,2022
104,C么te d'Ivoire,403.0,Very Low Proficiency,2022
105,Angola,402.0,Very Low Proficiency,2022
106,Tajikistan,397.0,Very Low Proficiency,2022
107,Rwanda,392.0,Very Low Proficiency,2022
108,Libya,390.0,Very Low Proficiency,2022
109,Yemen,370.0,Very Low Proficiency,2022
110,Democratic Republic of the Congo,367.0,Very Low Proficiency,2022
111,Laos,364.0,Very Low Proficiency,2022
1,Netherlands,647.0,Very High Proficiency,2023
2,Singapore,631.0,Very High Proficiency,2023
3,Austria,616.0,Very High Proficiency,2023
4,Denmark,615.0,Very High Proficiency,2023
5,Norway,614.0,Very High Proficiency,2023
6,Sweden,609.0,Very High Proficiency,2023
7,Belgium,608.0,Very High Proficiency,2023
8,Portugal,607.0,Very High Proficiency,2023
9,South Africa,605.0,Very High Proficiency,2023
10,Germany,604.0,Very High Proficiency,2023
11,Croatia,603.0,Very High Proficiency,2023
12,Greece,602.0,Very High Proficiency,2023
13,Poland,598.0,High Proficiency,2023
14,Finland,597.0,High Proficiency,2023
15,Romania,596.0,High Proficiency,2023
16,Bulgaria,589.0,High Proficiency,2023
17,Hungary,588.0,High Proficiency,2023
18,Slovakia,587.0,High Proficiency,2023
19,Kenya,584.0,High Proficiency,2023
20,Philippines,578.0,High Proficiency,2023
21,Lithuania,576.0,High Proficiency,2023
22,Luxembourg,575.0,High Proficiency,2023
23,Estonia,570.0,High Proficiency,2023
24,Serbia,569.0,High Proficiency,2023
25,Malaysia,568.0,High Proficiency,2023
26,Czech Republic,565.0,High Proficiency,2023
27,Nigeria,562.0,High Proficiency,2023
28,Argentina,560.0,High Proficiency,2023
29,Hong Kong (China),553.0,High Proficiency,2023
30,Switzerland,553.0,High Proficiency,2023
31,Honduras,544.0,Moderate Proficiency,2023
32,Georgia,541.0,Moderate Proficiency,2023
33,Belarus,539.0,Moderate Proficiency,2023
34,Ghana,537.0,Moderate Proficiency,2023
35,Italy,535.0,Moderate Proficiency,2023
36,Moldova,535.0,Moderate Proficiency,2023
37,Spain,535.0,Moderate Proficiency,2023
38,Costa Rica,534.0,Moderate Proficiency,2023
39,Albania,533.0,Moderate Proficiency,2023
40,Uruguay,533.0,Moderate Proficiency,2023
41,Bolivia,532.0,Moderate Proficiency,2023
42,Russia,532.0,Moderate Proficiency,2023
43,Cuba,531.0,Moderate Proficiency,2023
44,France,531.0,Moderate Proficiency,2023
45,Paraguay,530.0,Moderate Proficiency,2023
46,Ukraine,530.0,Moderate Proficiency,2023
47,Uganda,529.0,Moderate Proficiency,2023
48,Armenia,528.0,Moderate Proficiency,2023
49,South Korea,525.0,Moderate Proficiency,2023
50,El Salvador,524.0,Moderate Proficiency,2023
51,Peru,521.0,Moderate Proficiency,2023
52,Chile,518.0,Moderate Proficiency,2023
53,Guatemala,515.0,Moderate Proficiency,2023
54,Israel,514.0,Moderate Proficiency,2023
55,Dominican Republic,512.0,Moderate Proficiency,2023
56,Venezuela,508.0,Moderate Proficiency,2023
57,Nepal,507.0,Moderate Proficiency,2023
58,Iran,505.0,Moderate Proficiency,2023
58,Vietnam,505.0,Moderate Proficiency,2023
60,Bangladesh,504.0,Moderate Proficiency,2023
60,India,504.0,Moderate Proficiency,2023
62,Nicaragua,503.0,Moderate Proficiency,2023
63,Tunisia,502.0,Moderate Proficiency,2023
64,Pakistan,497.0,Low Proficiency,2023
65,Lebanon,496.0,Low Proficiency,2023
66,Turkey,493.0,Low Proficiency,2023
67,Sri Lanka,491.0,Low Proficiency,2023
67,Tanzania,491.0,Low Proficiency,2023
69,Ethiopia,490.0,Low Proficiency,2023
70,Brazil,487.0,Low Proficiency,2023
71,Panama,486.0,Low Proficiency,2023
71,United Arab Emirates,486.0,Low Proficiency,2023
73,Mongolia,482.0,Low Proficiency,2023
73,Qatar,482.0,Low Proficiency,2023
75,Colombia,480.0,Low Proficiency,2023
76,Morocco,478.0,Low Proficiency,2023
77,Algeria,475.0,Low Proficiency,2023
78,Madagascar,474.0,Low Proficiency,2023
79,Indonesia,473.0,Low Proficiency,2023
80,Ecuador,467.0,Low Proficiency,2023
80,Syria,467.0,Low Proficiency,2023
82,China,464.0,Low Proficiency,2023
83,Azerbaijan,463.0,Low Proficiency,2023
83,Egypt,463.0,Low Proficiency,2023
85,Kuwait,461.0,Low Proficiency,2023
86,Malawi,460.0,Low Proficiency,2023
87,Japan,457.0,Low Proficiency,2023
88,Afghanistan,456.0,Low Proficiency,2023
89,Mexico,451.0,Low Proficiency,2023
90,Kyrgyzstan,450.0,Low Proficiency,2023
90,Myanmar,450.0,Low Proficiency,2023
92,Palestine,445.0,Very Low Proficiency,2023
93,Uzbekistan,442.0,Very Low Proficiency,2023
94,Cameroon,438.0,Very Low Proficiency,2023
94,Senegal,438.0,Very Low Proficiency,2023
96,Jordan,431.0,Very Low Proficiency,2023
97,Sudan,430.0,Very Low Proficiency,2023
98,Cambodia,421.0,Very Low Proficiency,2023
98,Haiti,421.0,Very Low Proficiency,2023
100,Oman,418.0,Very Low Proficiency,2023
101,Angola,416.0,Very Low Proficiency,2023
101,Benin,416.0,Very Low Proficiency,2023
101,Thailand,416.0,Very Low Proficiency,2023
104,Kazakhstan,415.0,Very Low Proficiency,2023
105,Somalia,411.0,Very Low Proficiency,2023
106,Iraq,410.0,Very Low Proficiency,2023
107,Côte d'Ivoire,409.0,Very Low Proficiency,2023
108,Saudi Arabia,408.0,Very Low Proficiency,2023
109,Rwanda,405.0,Very Low Proficiency,2023
110,Libya,392.0,Very Low Proficiency,2023
110,Yemen,392.0,Very Low Proficiency,2023
112,Tajikistan,388.0,Very Low Proficiency,2023
113,Democratic Republic of the Congo,385.0,Very Low Proficiency,2023
1,Netherlands,636.0,Very High Proficiency,2024
2,Norway,610.0,Very High Proficiency,2024
3,Singapore,609.0,Very High Proficiency,2024
4,Sweden,608.0,Very High Proficiency,2024
5,Croatia,607.0,Very High Proficiency,2024
6,Portugal,605.0,Very High Proficiency,2024
7,Denmark,603.0,Very High Proficiency,2024
8,Greece,602.0,Very High Proficiency,2024
9,Austria,600.0,Very High Proficiency,2024
10,Germany,598.0,High Proficiency,2024
11,South Africa,594.0,High Proficiency,2024
12,Romania,593.0,High Proficiency,2024
13,Belgium,592.0,High Proficiency,2024
14,Finland,590.0,High Proficiency,2024
15,Poland,588.0,High Proficiency,2024
16,Bulgaria,586.0,High Proficiency,2024
17,Hungary,585.0,High Proficiency,2024
18,Slovakia,584.0,High Proficiency,2024
19,Kenya,581.0,High Proficiency,2024
20,Estonia,578.0,High Proficiency,2024
21,Luxembourg,576.0,High Proficiency,2024
22,Philippines,570.0,High Proficiency,2024
23,Lithuania,569.0,High Proficiency,2024
24,Serbia,568.0,High Proficiency,2024
25,Czechia,567.0,High Proficiency,2024
26,Malaysia,566.0,High Proficiency,2024
27,Suriname,563.0,High Proficiency,2024
28,Argentina,562.0,High Proficiency,2024
29,Cyprus,558.0,High Proficiency,2024
30,Nigeria,557.0,High Proficiency,2024
31,Switzerland,550.0,High Proficiency,2024
32,Hong Kong (China),549.0,Moderate Proficiency,2024
33,Honduras,545.0,Moderate Proficiency,2024
34,Georgia,543.0,Moderate Proficiency,2024
35,Belarus,539.0,Moderate Proficiency,2024
36,Spain,538.0,Moderate Proficiency,2024
37,Uruguay,538.0,Moderate Proficiency,2024
38,Armenia,537.0,Moderate Proficiency,2024
39,Moldova,536.0,Moderate Proficiency,2024
40,Ukraine,535.0,Moderate Proficiency,2024
41,Costa Rica,534.0,Moderate Proficiency,2024
42,Ghana,534.0,Moderate Proficiency,2024
43,Albania,533.0,Moderate Proficiency,2024
44,Russia,532.0,Moderate Proficiency,2024
45,Paraguay,531.0,Moderate Proficiency,2024
46,Italy,528.0,Moderate Proficiency,2024
47,Bolivia,525.0,Moderate Proficiency,2024
48,Chile,525.0,Moderate Proficiency,2024
49,France,524.0,Moderate Proficiency,2024
50,South Korea,523.0,Moderate Proficiency,2024
51,Israel,522.0,Moderate Proficiency,2024
52,Cuba,520.0,Moderate Proficiency,2024
53,Peru,519.0,Moderate Proficiency,2024
54,Uganda,518.0,Moderate Proficiency,2024
55,El Salvador,513.0,Moderate Proficiency,2024
56,Nepal,512.0,Moderate Proficiency,2024
57,Venezuela,510.0,Moderate Proficiency,2024
58,Guatemala,507.0,Moderate Proficiency,2024
59,Nicaragua,505.0,Moderate Proficiency,2024
60,Dominican Republic,503.0,Moderate Proficiency,2024
61,Bangladesh,500.0,Moderate Proficiency,2024
62,Iran,499.0,Low Proficiency,2024
63,Ethiopia,498.0,Low Proficiency,2024
64,Vietnam,498.0,Low Proficiency,2024
65,Turkey,497.0,Low Proficiency,2024
66,Tunisia,496.0,Low Proficiency,2024
67,Pakistan,493.0,Low Proficiency,2024
68,Lebanon,492.0,Low Proficiency,2024
69,India,490.0,Low Proficiency,2024
70,United Arab Emirates,489.0,Low Proficiency,2024
71,Panama,488.0,Low Proficiency,2024
72,Tanzania,487.0,Low Proficiency,2024
73,Sri Lanka,486.0,Low Proficiency,2024
74,Colombia,485.0,Low Proficiency,2024
75,Qatar,480.0,Low Proficiency,2024
76,Morocco,479.0,Low Proficiency,2024
77,Syria,473.0,Low Proficiency,2024
78,Algeria,471.0,Low Proficiency,2024
79,Mozambique,469.0,Low Proficiency,2024
80,Indonesia,468.0,Low Proficiency,2024
81,Brazil,466.0,Low Proficiency,2024
82,Ecuador,465.0,Low Proficiency,2024
83,Egypt,465.0,Low Proficiency,2024
84,Mongolia,464.0,Low Proficiency,2024
85,Madagascar,463.0,Low Proficiency,2024
86,Azerbaijan,462.0,Low Proficiency,2024
87,Mexico,459.0,Low Proficiency,2024
88,Kyrgyzstan,457.0,Low Proficiency,2024
89,Cape Verde,456.0,Low Proficiency,2024
90,Kuwait,456.0,Low Proficiency,2024
91,China,455.0,Low Proficiency,2024
92,Japan,454.0,Very Low Proficiency,2024
93,Myanmar,449.0,Very Low Proficiency,2024
94,Palestine,448.0,Very Low Proficiency,2024
95,Afghanistan,447.0,Very Low Proficiency,2024
96,Malawi,447.0,Very Low Proficiency,2024
97,Cameroon,445.0,Very Low Proficiency,2024
98,Uzbekistan,439.0,Very Low Proficiency,2024
99,Haiti,432.0,Very Low Proficiency,2024
100,Sudan,432.0,Very Low Proficiency,2024
101,Jordan,431.0,Very Low Proficiency,2024
102,Senegal,429.0,Very Low Proficiency,2024
103,Kazakhstan,427.0,Very Low Proficiency,2024
104,Oman,421.0,Very Low Proficiency,2024
105,Saudi Arabia,417.0,Very Low Proficiency,2024
106,Thailand,415.0,Very Low Proficiency,2024
107,Iraq,414.0,Very Low Proficiency,2024
108,Benin,413.0,Very Low Proficiency,2024
109,Tajikistan,412.0,Very Low Proficiency,2024
110,Angola,409.0,Very Low Proficiency,2024
111,Cambodia,408.0,Very Low Proficiency,2024
112,Libya,405.0,Very Low Proficiency,2024
113,Rwanda,401.0,Very Low Proficiency,2024
114,C么te d'Ivoire,399.0,Very Low Proficiency,2024
115,Somalia,399.0,Very Low Proficiency,2024
116,Yemen,394.0,Very Low Proficiency,2024
